epoch,step,test_acc,test_loss,train_loss,val_acc,val_loss
0,4,,,1.1069684028625488,,
0,8,,,,0.3888888955116272,1.0627501010894775
1,9,,,1.0944619178771973,,
1,14,,,0.9939767718315125,,
1,17,,,,0.8333333134651184,0.9610682725906372
2,19,,,0.9764200448989868,,
2,24,,,0.8862472176551819,,
2,26,,,,0.9722222089767456,0.8491693139076233
3,29,,,0.7750285863876343,,
3,34,,,0.74274742603302,,
3,35,,,,0.9722222089767456,0.7162034511566162
4,39,,,0.6966050863265991,,
4,44,,,0.6033852696418762,,
4,44,,,,0.9722222089767456,0.5661156177520752
5,49,,,0.4452551603317261,,
5,53,,,,0.9722222089767456,0.4201608896255493
6,54,,,0.370715856552124,,
6,59,,,0.39830854535102844,,
6,62,,,,0.9722222089767456,0.2972859740257263
7,64,,,0.29155233502388,,
7,69,,,0.23250693082809448,,
7,71,,,,0.9722222089767456,0.20626388490200043
8,74,,,0.2624921500682831,,
8,79,,,0.2346745878458023,,
8,80,,,,0.9722222089767456,0.14467734098434448
9,84,,,0.14779619872570038,,
9,89,,,0.12219373881816864,,
9,89,,,,1.0,0.10673903673887253
10,94,,,0.1048649474978447,,
10,98,,,,1.0,0.08208009600639343
11,99,,,0.0640951544046402,,
11,104,,,0.04492476209998131,,
11,107,,,,1.0,0.06732156872749329
12,109,,,0.06378687918186188,,
12,114,,,0.04074887931346893,,
12,116,,,,1.0,0.05734197795391083
13,119,,,0.05982740968465805,,
13,124,,,0.03845977410674095,,
13,125,,,,1.0,0.04770216718316078
14,129,,,0.048515670001506805,,
14,134,,,0.04441668465733528,,
14,134,,,,1.0,0.04157751053571701
15,139,,,0.030630286782979965,,
15,143,,,,1.0,0.036112621426582336
16,144,,,0.08016913384199142,,
16,149,,,0.038573771715164185,,
16,152,,,,1.0,0.03263652324676514
17,154,,,0.056926801800727844,,
17,159,,,0.016867509111762047,,
17,161,,,,1.0,0.030444644391536713
18,164,,,0.04788919538259506,,
18,169,,,0.017509667202830315,,
18,170,,,,1.0,0.027549855411052704
19,174,,,0.025426264852285385,,
19,179,,,0.027865326032042503,,
19,179,,,,1.0,0.025391127914190292
20,184,,,0.017755206674337387,,
20,188,,,,1.0,0.02247517928481102
21,189,,,0.013259866274893284,,
21,194,,,0.0067166490480303764,,
21,197,,,,1.0,0.021653717383742332
22,199,,,0.024015650153160095,,
22,204,,,0.00907657016068697,,
22,206,,,,1.0,0.020687533542513847
23,209,,,0.016667082905769348,,
23,214,,,0.05030512064695358,,
23,215,,,,1.0,0.019925661385059357
24,219,,,0.008828454650938511,,
24,224,,,0.015470766462385654,,
24,224,,,,1.0,0.017561068758368492
25,229,,,0.012915369123220444,,
25,233,,,,1.0,0.016325104981660843
26,234,,,0.019529856741428375,,
26,239,,,0.013642107136547565,,
26,242,,,,1.0,0.01577434502542019
27,244,,,0.01168362982571125,,
