epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3467,1.32222,4.59509,0.01245,0.68086,0.81633,0.80627,0.52775,1.0428,2.09852,0.01441,0.000664052,0.000664052,0.000664052
2,112.959,1.3773,2.09219,0.01301,0.91292,0.64204,0.81161,0.54193,1.08878,1.29362,0.01465,0.00126485,0.00126485,0.00126485
3,163.57,1.43179,1.47463,0.01424,0.8324,0.81095,0.87228,0.53561,1.47551,0.92496,0.02301,0.00179964,0.00179964,0.00179964
4,217.549,1.40704,1.25288,0.01353,0.95402,0.87755,0.93677,0.5878,1.22648,0.69691,0.01616,0.001703,0.001703,0.001703
5,271.331,1.37568,1.11752,0.01329,0.93348,0.83673,0.93235,0.5992,1.28223,0.80869,0.01762,0.001604,0.001604,0.001604
6,318.535,1.34501,1.06253,0.01284,0.87803,0.88153,0.93907,0.52204,1.63212,0.73358,0.0236,0.001505,0.001505,0.001505
7,366.979,1.3014,1.01477,0.01226,0.93684,0.91837,0.93821,0.58489,1.22486,0.58957,0.016,0.001406,0.001406,0.001406
8,411.845,1.25729,0.91692,0.01151,0.85294,0.83673,0.89489,0.54927,1.23111,0.81928,0.0176,0.001307,0.001307,0.001307
9,457.308,1.21508,0.87959,0.01128,0.91623,0.93878,0.96237,0.68251,1.12889,0.53833,0.01566,0.001208,0.001208,0.001208
10,504.052,1.20439,0.84234,0.01075,0.89816,0.89997,0.92985,0.59627,1.14398,0.56788,0.01703,0.001109,0.001109,0.001109
11,579.53,1.13668,0.68355,0.01319,0.91117,0.85714,0.92981,0.63789,1.02548,0.67953,0.0148,0.00101,0.00101,0.00101
12,630.387,1.06556,0.59952,0.01237,0.93089,0.91837,0.96667,0.64132,1.40952,0.51103,0.02029,0.000911,0.000911,0.000911
13,680.19,1.02768,0.57872,0.01193,0.87102,0.96483,0.94906,0.55555,1.27496,0.56809,0.02034,0.000812,0.000812,0.000812
14,729.487,0.99462,0.51879,0.01158,0.95295,0.95918,0.97915,0.73262,1.04156,0.36803,0.01309,0.000713,0.000713,0.000713
15,779.76,0.96216,0.48117,0.01088,0.95865,0.89796,0.98059,0.7349,1.09621,0.39546,0.01413,0.000614,0.000614,0.000614
16,825.927,0.94005,0.47312,0.01039,0.93098,0.93878,0.97726,0.75716,1.01277,0.36901,0.01292,0.000515,0.000515,0.000515
17,873.587,0.88407,0.43222,0.00944,0.97017,0.91837,0.97673,0.75606,0.97296,0.37786,0.01236,0.000416,0.000416,0.000416
18,921.59,0.86507,0.42078,0.00917,0.97778,0.89795,0.97968,0.75655,1.01977,0.32486,0.01274,0.000317,0.000317,0.000317
19,968.015,0.8375,0.41003,0.00875,0.95722,0.91341,0.97591,0.76604,0.97854,0.3373,0.01214,0.000218,0.000218,0.000218
20,1016.73,0.81692,0.3886,0.00851,0.95604,0.95918,0.98262,0.78184,0.95445,0.34078,0.01212,0.000119,0.000119,0.000119
