epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.184,1.29677,6.52258,0.01602,0.65731,0.71429,0.75261,0.49857,1.04565,3.73095,0.01487,0.000664052,0.000664052,0.000664052
2,334.362,1.38895,2.43514,0.01721,0.83575,0.65306,0.83449,0.53519,1.12114,1.48125,0.01563,0.00119898,0.00119898,0.00119898
3,510.277,1.431,1.40582,0.01832,0.72882,0.81633,0.87724,0.57469,1.24405,0.91174,0.0188,0.0016019,0.0016019,0.0016019
4,686.844,1.36714,1.12667,0.01714,0.83313,0.85714,0.86979,0.5638,1.16493,0.79963,0.01763,0.001406,0.001406,0.001406
5,3086.09,1.28151,0.97944,0.01564,0.88955,0.85714,0.91271,0.56497,1.10044,1.01635,0.01592,0.001208,0.001208,0.001208
6,7034.76,1.20106,0.84395,0.01455,0.91529,0.93878,0.97449,0.66656,1.10377,0.56929,0.01579,0.00101,0.00101,0.00101
7,9090.67,1.14045,0.75358,0.01321,0.93492,0.91837,0.93876,0.71684,0.93496,0.52439,0.01387,0.000812,0.000812,0.000812
8,9313.13,1.07538,0.6622,0.01188,0.89716,0.93878,0.954,0.72063,0.90485,0.48077,0.01207,0.000614,0.000614,0.000614
9,9511.34,1.00983,0.60674,0.0111,0.95882,0.95043,0.96074,0.74419,0.86124,0.38874,0.01227,0.000416,0.000416,0.000416
10,9710.49,0.95432,0.56642,0.01011,0.93697,0.91021,0.96998,0.76254,0.80466,0.41479,0.01072,0.000218,0.000218,0.000218
